,novel_name,top_count,novel_page_url
0,苟在妖武亂世修仙,3,https://www.twking.cc/223_223913/
1,亂世書,3,https://www.twking.cc/222_222337/
2,熊學派的阿斯塔特,2,https://www.twking.cc/236_236001/
3,道詭異仙,2,https://www.twking.cc/162_162655/
4,靈境行者,2,https://www.twking.cc/199_199627/
5,明克街13号,2,https://www.twking.cc/159_159664/
6,宇宙職業選手,2,https://www.twking.cc/162_162163/
7,我得給這世界上堂課,2,https://www.twking.cc/236_236540/
8,大明國師,2,https://www.twking.cc/223_223395/
9,參加戀綜，這個小鮮肉過分接地氣,2,https://www.twking.cc/236_236036/
10,深海餘燼,1,https://www.twking.cc/217_217991/
11,詭秘之主,1,https://www.twking.cc/56_56944/
12,誰讓他修仙的！,1,https://www.twking.cc/224_224145/
13,苟在高武疊被動,1,https://www.twking.cc/236_236264/
14,全民機車化：無敵從百萬增幅開始,1,https://www.twking.cc/228_228080/
15,說好制作爛遊戲，泰坦隕落什麽鬼,1,https://www.twking.cc/233_233541/
16,英靈召喚：隻有我知道的曆史,1,https://www.twking.cc/224_224068/
17,這爛慫截教待不下去了,1,https://www.twking.cc/224_224021/
18,棄妃竟是王炸:偏執王爺傻眼倒追,1,https://www.twking.cc/163_163672/
19,光明壁壘,1,https://www.twking.cc/162_162374/
20,這遊戲也太真實了,1,https://www.twking.cc/130_130504/
21,死靈法師隻想種樹,1,https://www.twking.cc/236_236455/
22,乘龍仙婿,1,https://www.twking.cc/236_236457/
23,當不成儒聖我就掀起變革,1,https://www.twking.cc/231_231530/
24,牧者密續,1,https://www.twking.cc/236_236823/
25,從皇馬踢後腰開始,1,https://www.twking.cc/236_236613/
26,這個文明很強，就是科技樹有點歪,1,https://www.twking.cc/236_236170/
27,重生的我沒有格局,1,https://www.twking.cc/236_236820/
28,深空彼岸,1,https://www.twking.cc/100_100634/
29,終宋,1,https://www.twking.cc/155_155949/
30,我用閑書成聖人,1,https://www.twking.cc/128_128520/
31,術師手冊,1,https://www.twking.cc/102_102110/
32,天啓預報,1,https://www.twking.cc/39_39422/
33,重生大時代之1993,1,https://www.twking.cc/158_158070/
34,不科學禦獸,1,https://www.twking.cc/130_130435/
35,陳醫生，别慫！,1,https://www.twking.cc/217_217982/
36,修仙就是這樣子的,1,https://www.twking.cc/162_162434/
37,美漫世界黎明軌迹,1,https://www.twking.cc/221_221066/
